Data,Indicadores Industriais - horas trabalhadas - indústria - índice dessazonalizado (média 2006 = 100) - - - Confederação Nacional da Indústria - CNI12_HTRABD12,
1992.01,124.381784361736,
1992.02,126.063564032428,
1992.03,120.141112666397,
1992.04,121.913029301118,
1992.05,121.295058701777,
1992.06,120.910142078185,
1992.07,121.863123777533,
1992.08,120.250082927855,
1992.09,120.253048698503,
1992.10,119.762880364517,
1992.11,119.794993546496,
1992.12,115.575959820773,
1993.01,119.556537265753,
1993.02,118.330522919694,
1993.03,118.633750420866,
1993.04,119.252653574057,
1993.05,119.777462931987,
1993.06,119.982514752005,
1993.07,120.847236841848,
1993.08,119.947201261793,
1993.09,118.775862673447,
1993.10,118.808564715871,
1993.11,116.802386702675,
1993.12,118.883710315295,
1994.01,118.744445993783,
1994.02,118.305385172384,
1994.03,119.365442614495,
1994.04,117.409551201389,
1994.05,119.679409246474,
1994.06,117.363153997813,
1994.07,116.348538020821,
1994.08,118.042061837508,
1994.09,118.654388162529,
1994.10,119.546733544581,
1994.11,120.743693379512,
1994.12,128.09208435008,
1995.01,125.627268412523,
1995.02,125.510240551056,
1995.03,124.910111780997,
1995.04,124.458926540538,
1995.05,123.625538310488,
1995.06,120.965768962198,
1995.07,118.445927637164,
1995.08,115.815561008225,
1995.09,112.869563902347,
1995.10,112.218920446489,
1995.11,112.291504452806,
1995.12,111.063600003209,
1996.01,110.439459201752,
1996.02,111.219129427131,
1996.03,108.81789118497,
1996.04,107.88769887115,
1996.05,107.459375741733,
1996.06,106.787094918866,
1996.07,107.505899774322,
1996.08,107.498917988867,
1996.09,106.968878136838,
1996.10,105.421011014824,
1996.11,107.55499469998,
1996.12,108.089371177938,
1997.01,107.333326787007,
1997.02,105.841841568085,
1997.03,105.592296002932,
1997.04,105.541229232589,
1997.05,104.57364512456,
1997.06,104.680584792957,
1997.07,104.355181215646,
1997.08,103.688910748887,
1997.09,103.795844837706,
1997.10,104.108815583775,
1997.11,101.763277069977,
1997.12,99.883763314466,
1998.01,99.782040605702,
1998.02,99.930774180187,
1998.03,99.5656823189166,
1998.04,98.4737897590797,
1998.05,98.6946823196755,
1998.06,97.7304174163925,
1998.07,96.7453191739802,
1998.08,96.9366018014427,
1998.09,96.0676447604865,
1998.10,94.1610622613209,
1998.11,93.0954813789775,
1998.12,91.3243224612291,
1999.01,90.97556849654,
1999.02,88.4796825221394,
1999.03,88.2431783464079,
1999.04,87.4032039764054,
1999.05,86.9982467877541,
1999.06,87.5222277290749,
1999.07,87.7858947336778,
1999.08,87.4810105872007,
1999.09,87.9964153922806,
1999.10,88.171217698492,
1999.11,89.5079185679204,
1999.12,90.040973798344,
2000.01,90.2708124803218,
2000.02,91.3746930487955,
2000.03,91.4483900879398,
2000.04,92.3174574822866,
2000.05,90.646012726034,
2000.06,91.5346213893398,
2000.07,92.112800795492,
2000.08,92.0818722268396,
2000.09,92.0534057267783,
2000.10,92.004538924721,
2000.11,93.0563346135622,
2000.12,94.4350962039624,
2001.01,94.8615428225067,
2001.02,95.8024631099798,
2001.03,95.3723822100363,
2001.04,93.4585470957756,
2001.05,94.7472166898039,
2001.06,94.2508554920756,
2001.07,92.8798857553918,
2001.08,92.1771887270896,
2001.09,92.5741124158879,
2001.10,92.009423032957,
2001.11,91.8819419778315,
2001.12,93.9503397002596,
2002.01,94.2039273999703,
2002.02,94.6415360666657,
