Data;IPCA - geral - taxa de variação - (% a-m-) - Instituto Brasileiro de Geografia e Estatística, Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_IPCAG12
1980-01;6,615649161
1980-02;4,616918853
1980-03;6,038388665
1980-04;5,286113824
1980-05;5,702720651
1980-06;5,305304307
1980-07;5,545612091
1980-08;4,945582443
1980-09;4,230325311
1980-10;9,480531198
1980-11;6,673359756
1980-12;6,614083637
1981-01;6,837511117
1981-02;6,401149383
1981-03;4,971748138
1981-04;6,462066757
1981-05;5,559560048
1981-06;5,517783455
1981-07;6,255819584
1981-08;5,495795889
1981-09;5,256840496
1981-10;5,077556239
1981-11;5,271557697
1981-12;5,925410669
1982-01;6,97
1982-02;6,636694498
1982-03;5,712590196
1982-04;5,887330788
1982-05;6,658542954
1982-06;7,104915649
1982-07;6,357925068
1982-08;5,972864431
1982-09;5,080259913
1982-10;4,442417012
1982-11;5,288454359
1982-12;7,805915775
1983-01;8,641100315
1983-02;7,858142932
1983-03;7,344849217
1983-04;6,579258719
1983-05;6,48295911
1983-06;9,880347473
1983-07;10,07843853
1983-08;9,111212063
1983-09;10,30060113
1983-10;8,866550287
1983-11;7,384241205
1983-12;8,677099114
1984-01;9,668938438
1984-02;9,500737475
1984-03;8,938548355
1984-04;9,542996738
1984-05;9,050223532
1984-06;10,08018665
1984-07;9,72466767
1984-08;9,349208256
1984-09;11,74807339
1984-10;10,43719864
1984-11;10,52633767
1984-12;11,97723182
1985-01;11,75926231
1985-02;10,86524603
1985-03;10,16228959
1985-04;8,195335793
1985-05;7,195839296
1985-06;8,493929066
1985-07;10,31299833
1985-08;12,04956331
1985-09;11,11740317
1985-10;10,61644923
1985-11;13,97293864
1985-12;15,07304532
1986-01;14,37235061
1986-02;12,71625723
1986-03;4,770185768
1986-04;0,780003209
1986-05;1,39908696
1986-06;1,27213975
1986-07;1,710307
1986-08;3,553110087
1986-09;1,715595999
1986-10;1,903128874
1986-11;5,452292568
1986-12;11,65015789
1987-01;13,20854204
1987-02;12,63696228
1987-03;16,37188861
1987-04;19,099244
1987-05;21,45136044
1987-06;19,7114041
1987-07;9,210063354
1987-08;4,87033869
1987-09;7,781127785
1987-10;11,22013625
1987-11;15,07906058
1987-12;14,14947608
1988-01;18,88941195
1988-02;15,69991923
1988-03;17,60050964
1988-04;19,28961102
1988-05;17,41961027
1988-06;21,99995671
1988-07;21,91008273
1988-08;21,58990254
1988-09;27,45005663
1988-10;25,61995028
1988-11;27,94011826
1988-12;28,70004216
1989-01;37,49001314
1989-02;16,77999111
1989-03;6,819992984
1989-04;8,330013284
1989-05;17,91996988
1989-06;28,64999138
1989-07;27,7399782
1989-08;33,7100177
1989-09;37,55999868
1989-10;39,76999624
1989-11;47,82000135
1989-12;51,49999918
1990-01;67,55000228
1990-02;75,72999861
1990-03;82,38999966
1990-04;15,51999944
1990-05;7,589999593
1990-06;11,75000036
1990-07;12,91999967
1990-08;12,8800001
1990-09;14,41000013
1990-10;14,36000022
1990-11;16,80999974
1990-12;18,44000012
1991-01;20,75
1991-02;20,72049689
1991-03;11,92289223
1991-04;4,989273675
1991-05;7,431840738
1991-06;11,1890012
1991-07;12,40897317
1991-08;15,63043478
1991-09;15,63075766
1991-10;20,22957856
1991-11;25,21028859
1991-12;23,70933598
1992-01;25,94028287
1992-02;24,3199401
1992-03;21,40029219
1992-04;19,92999927
1992-05;24,86001639
1992-06;20,21029901
1992-07;21,83005869
1992-08;22,14002664
1992-09;24,62994718
1992-10;25,23995861
1992-11;22,49004102
1992-12;25,23996678
1993-01;30,34995324
1993-02;24,98000167
1993-03;27,26001901
1993-04;27,74996684
1993-05;27,68998645
1993-06;30,07001181
1993-07;30,72000386
1993-08;32,96000841
1993-09;35,689997
1993-10;33,9199998
1993-11;35,56000515
1993-12;36,84000144
1994-01;41,31
1994-02;40,2731583
1994-03;42,75047927
1994-04;42,6809443
1994-05;44,02942561
1994-06;47,42987842
1994-07;6,840159106
1994-08;1,860404179
1994-09;1,529523993
1994-10;2,620244078
1994-11;2,809497356
1994-12;1,710077349
1995-01;1,700017709
1995-02;1,019598739
1995-03;1,550350481
1995-04;2,43
1995-05;2,67
