Data;Meio de pagamento ampliado - M2 - fim de período - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_M2NCN12
1988-07;0,005210473
1988-08;0,006339041
1988-09;0,007873593
1988-10;0,009994583
1988-11;0,012591505
1988-12;0,016871209
1989-01;0,019582182
1989-02;0,021968
1989-03;0,025624
1989-04;0,030326182
1989-05;0,032477455
1989-06;0,038648727
1989-07;0,047445091
1989-08;0,060924
1989-09;0,079998182
1989-10;0,108494182
1989-11;0,148388364
1989-12;0,239225818
1990-01;0,350736727
1990-02;0,660653818
1990-03;0,963521455
1990-04;0,908961455
1990-05;1,023386545
1990-06;1,150381818
1990-07;1,287082909
1990-08;1,486466182
1990-09;1,755858909
1990-10;1,994421455
1990-11;2,315757455
1990-12;2,822565455
1991-01;3,163132727
1991-02;3,703016727
1991-03;4,304324727
1991-04;4,721849818
1991-05;5,331973091
1991-06;6,024898909
1991-07;6,807402182
1991-08;7,87264
1991-09;9,406394182
1991-10;11,09955782
1991-11;14,28731636
1991-12;19,34230182
1992-01;24,29792291
1992-02;31,925308
1992-03;40,04702109
1992-04;49,83634836
1992-05;62,41779673
1992-06;79,55546509
1992-07;100,3215905
1992-08;128,4281142
1992-09;161,6261607
1992-10;202,7962276
1992-11;253,3630451
1992-12;332,7395342
1993-01;423,1838807
1993-02;522,9345775
1993-03;669,4135185
1993-04;866,9605433
1993-05;1126,609413
1993-06;1482,426486
1993-07;1960,844801
1993-08;2655,215545
1993-09;3562,882909
1993-10;4952,916
1993-11;6962,322545
1993-12;10222,99055
1994-01;14609,54327
1994-02;20129,89782
1994-03;28948,33309
1994-04;41777,93418
1994-05;62697,88436
1994-06;93961,13045
1994-07;100697,238
1994-08;106845,778
1994-09;111760,246
1994-10;118860,495
1994-11;124425,475
1994-12;132557,664
1995-01;139852,441
1995-02;143815,525
1995-03;145947,321
1995-04;147298,943
1995-05;147330,908
1995-06;151296,988
1995-07;156030,9191
1995-08;162114,6755
1995-09;165951,4466
1995-10;168628,5201
1995-11;171865,3629
1995-12;178755,4946
1996-01;175037,46
1996-02;174832,7242
1996-03;175384,4196
1996-04;173650,0173
1996-05;172229,8742
1996-06;173472,1505
1996-07;172417,1159
1996-08;173009,5872
1996-09;176994,9608
1996-10;179184,3844
1996-11;182163,719
1996-12;188735,1655
1997-01;189278,9282
1997-02;192902,4101
1997-03;195733,1289
1997-04;195853,8947
1997-05;198245,1649
1997-06;205189,4075
1997-07;204299,756
1997-08;209692,7763
1997-09;217061,7455
1997-10;222660,1841
1997-11;230702,7344
1997-12;239777,1958
1998-01;241760,7368
