Ano,PIB - preços de mercado,
1996,854763.607812398,
1997,952089.196088811,
1998,1002351.01921348,
1999,1087710.45605399,
2000,1199092.07094021,
2001,1315755.46783093,
2002,1488787.25515837,
2003,1717950.39642449,
2004,1957751.21296257,
2005,2170584.50342214,
2006,2409449.92207206,
2007,2720262.93783832,
2008,3109803.08904629,
2009,3333039.35542242,
2010,3885847,
2011,4376382,
2012,4814760,
2013,5331619,
2014,5778953,
2015,5995787,
2016,6269328,
2017,6585479,
2018,7004141,
2019,7389131,
2020,7609597,
2021,9012142,
2022,10079676.701,
2023,10943344.667905,
2024,11744710.0418187,
